arxiv_id,year_group,model_name,n_words,n_files,n_citations,cit_per_100_words,word_stratum,log_perplexity,perplexity,burstiness_std,burstiness_cv,n_sentences_scored,n_tokens_scored
2106.13031,2015,Qwen/Qwen2.5-0.5B,238,1,10,4.201680672268908,0,2.933242544383305,18.788454228284984,0.8345280604050822,0.1940850194619459,10,301
2106.14979,2015,Qwen/Qwen2.5-0.5B,180,1,9,5.0,0,3.503280439751637,33.22426358109745,1.0428049128795696,0.2084033521552873,12,229
2107.08966,2015,Qwen/Qwen2.5-0.5B,212,1,6,2.830188679245284,0,3.5725473963228382,35.60718332597283,0.7820909228816676,0.1594096660823832,9,266
2107.09123,2015,Qwen/Qwen2.5-0.5B,273,1,13,4.761904761904762,0,2.700654386742715,14.889472010658103,0.9760476430857808,0.2033350657648184,14,326
2107.09950,2015,Qwen/Qwen2.5-0.5B,272,1,3,1.1029411764705883,0,3.1320019018618765,22.919816870283142,1.388526376618864,0.3147987874629682,13,381
2107.11658,2015,Qwen/Qwen2.5-0.5B,266,1,2,0.7518796992481203,0,3.175120386584052,23.92970050987812,1.3648491539390029,0.2903938643770289,14,377
2107.13034,2015,Qwen/Qwen2.5-0.5B,164,1,14,8.536585365853659,0,3.408987821004037,30.2346259130906,1.142351402258685,0.2217760946417555,8,209
2107.14586,2015,Qwen/Qwen2.5-0.5B,160,1,11,6.875000000000001,0,3.3963095254944142,29.85372209886707,0.748111039962869,0.1477782460280436,8,207
2108.00710,2015,Qwen/Qwen2.5-0.5B,253,1,11,4.3478260869565215,0,2.449229950600482,11.579426554715296,0.595446402751324,0.1395229722906337,11,376
2108.02658,2015,Qwen/Qwen2.5-0.5B,279,1,9,3.225806451612903,0,3.485998883928572,32.655029408255615,1.1134660518753987,0.2208725693966273,13,350
2108.03492,2015,Qwen/Qwen2.5-0.5B,153,1,3,1.96078431372549,0,3.556665776850103,35.046150437516474,1.0233934920391656,0.2115592261065729,5,182
2108.04140,2015,Qwen/Qwen2.5-0.5B,251,1,18,7.171314741035857,0,3.128253332132565,22.834061169591997,0.9492782896606444,0.2094668131987897,13,347
2108.04475,2015,Qwen/Qwen2.5-0.5B,208,1,13,6.25,0,2.5443518687102755,12.734971477183162,1.2822721878842729,0.2774940273115229,13,295
2108.07117,2015,Qwen/Qwen2.5-0.5B,200,1,5,2.5,0,3.034640024943524,20.793491413836463,0.8671875316897635,0.2086682110374599,9,249
2108.09241,2015,Qwen/Qwen2.5-0.5B,261,1,7,2.681992337164751,0,3.3990956847570533,29.937015303402188,0.635585155234838,0.1390881281080588,9,319
2108.12229,2015,Qwen/Qwen2.5-0.5B,256,1,13,5.078125,0,3.13526106579912,22.994638172089047,0.7216469834424462,0.1645843066242256,11,341
2108.13751,2015,Qwen/Qwen2.5-0.5B,223,1,8,3.587443946188341,0,3.6660811965529994,39.09838635915968,0.6282806468431386,0.1342826153271747,11,296
2109.02008,2015,Qwen/Qwen2.5-0.5B,180,1,12,6.666666666666667,0,3.399475337009804,29.948383116474133,0.6577104268545413,0.1251479515174796,11,255
2109.02859,2015,Qwen/Qwen2.5-0.5B,208,1,6,2.8846153846153846,0,3.5231765220905173,33.89191607518463,0.5432458665413274,0.1122015234821915,12,261
2109.05052,2015,Qwen/Qwen2.5-0.5B,187,1,11,5.88235294117647,0,3.590793349177962,36.2628336067596,1.220380966671926,0.238352762849899,10,249
2109.05812,2015,Qwen/Qwen2.5-0.5B,276,1,7,2.536231884057971,0,3.0546169704861112,21.213058743033915,0.8200316048251136,0.1923141247535844,13,360
2109.06264,2015,Qwen/Qwen2.5-0.5B,276,1,6,2.1739130434782608,0,2.944693353746397,19.00483373178237,0.674446900700917,0.1608771571091219,11,347
2109.06513,2015,Qwen/Qwen2.5-0.5B,244,1,10,4.098360655737705,0,3.3110983641788025,27.41522083756377,0.6980078441063654,0.1506300363339492,11,309
2109.07036,2015,Qwen/Qwen2.5-0.5B,244,1,10,4.098360655737705,0,3.914675808282872,50.13281623248699,0.4685243496102945,0.089142979114546,10,289
2109.07276,2015,Qwen/Qwen2.5-0.5B,220,1,8,3.636363636363636,0,2.859081939811564,17.445503560207598,1.1529606085870143,0.2603103037118452,11,267
2109.07437,2015,Qwen/Qwen2.5-0.5B,181,1,17,9.392265193370166,0,2.632058297944761,13.902355663119922,1.131821007353054,0.2698098260444743,8,241
2109.08652,2015,Qwen/Qwen2.5-0.5B,278,1,18,6.474820143884892,0,3.39943346854968,29.947129250038746,0.7239155117390701,0.1408059157320809,13,390
2109.10048,2015,Qwen/Qwen2.5-0.5B,207,1,4,1.932367149758454,0,2.200079978509093,9.025735335423647,0.9339983868032166,0.2567584236310829,11,299
2109.11851,2015,Qwen/Qwen2.5-0.5B,272,1,9,3.308823529411765,0,3.1047462640806684,22.30355904318397,0.7466465213838642,0.175995407442261,12,344
